access_sources,account_id,category,email,name,product_access_assignments,products,site_count,sites
"[""group""]",712020:c8882688-c37c-431d-ac3d-2416e828c706,low,,712020:c8882688-c37c-431d-ac3d-2416e828c706,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:c9dcb854-cc83-427b-87bc-edd472329170,low,,712020:c9dcb854-cc83-427b-87bc-edd472329170,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:cb410439-a068-4508-bbb3-a79b31a3b5cd,low,,712020:cb410439-a068-4508-bbb3-a79b31a3b5cd,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:cbc1b86c-8a82-4f0c-b15d-73ac1370414f,low,,712020:cbc1b86c-8a82-4f0c-b15d-73ac1370414f,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:da25c2ce-ed4c-4eea-b392-2d8f4a6a3e7d,low,,712020:da25c2ce-ed4c-4eea-b392-2d8f4a6a3e7d,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:e1f38c99-d926-4169-a2b0-dc8cb63cbae6,low,,712020:e1f38c99-d926-4169-a2b0-dc8cb63cbae6,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:ee25c9e9-0009-4093-b52d-e097d3912385,low,,712020:ee25c9e9-0009-4093-b52d-e097d3912385,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:ee48ab1a-bd3c-4830-9da7-89960a673638,low,,712020:ee48ab1a-bd3c-4830-9da7-89960a673638,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:f1a9d02b-dcc1-4448-bb30-1175d7cc174f,low,,712020:f1a9d02b-dcc1-4448-bb30-1175d7cc174f,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:f2f5142e-b806-477c-8885-de60007ec8ce,low,,712020:f2f5142e-b806-477c-8885-de60007ec8ce,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:ff320150-5fd5-49d3-b782-b57debd506d7,low,,712020:ff320150-5fd5-49d3-b782-b57debd506d7,1,"[""jira-software""]",1,"[""gli-global-technology""]"
